"","dateRep","day","month","year","cases","countriesAndTerritories","date","Cumulative_cases"
"336","08/03/2020",8,3,2020,103,"France",2020-03-08,716
"337","08/03/2020",8,3,2020,163,"Germany",2020-03-08,847
"338","08/03/2020",8,3,2020,330,"Spain",2020-03-08,1094
"339","08/03/2020",8,3,2020,81,"United_Kingdom",2020-03-08,352
"340","08/03/2020",8,3,2020,95,"United_States_of_America",2020-03-08,433
"341","09/03/2020",9,3,2020,410,"France",2020-03-09,1126
"342","09/03/2020",9,3,2020,55,"Germany",2020-03-09,902
"343","09/03/2020",9,3,2020,433,"Spain",2020-03-09,1527
"344","09/03/2020",9,3,2020,60,"United_Kingdom",2020-03-09,412
"345","09/03/2020",9,3,2020,121,"United_States_of_America",2020-03-09,554
"346","10/03/2020",10,3,2020,286,"France",2020-03-10,1412
"347","10/03/2020",10,3,2020,237,"Germany",2020-03-10,1139
"348","10/03/2020",10,3,2020,772,"Spain",2020-03-10,2299
"349","10/03/2020",10,3,2020,57,"United_Kingdom",2020-03-10,469
"350","10/03/2020",10,3,2020,200,"United_States_of_America",2020-03-10,754
"351","11/03/2020",11,3,2020,372,"France",2020-03-11,1784
"352","11/03/2020",11,3,2020,157,"Germany",2020-03-11,1296
"353","11/03/2020",11,3,2020,975,"Spain",2020-03-11,3274
"354","11/03/2020",11,3,2020,148,"United_Kingdom",2020-03-11,617
"355","11/03/2020",11,3,2020,271,"United_States_of_America",2020-03-11,1025
"356","12/03/2020",12,3,2020,497,"France",2020-03-12,2281
"357","12/03/2020",12,3,2020,271,"Germany",2020-03-12,1567
"358","12/03/2020",12,3,2020,1153,"Spain",2020-03-12,4427
"359","12/03/2020",12,3,2020,259,"United_Kingdom",2020-03-12,876
"360","12/03/2020",12,3,2020,287,"United_States_of_America",2020-03-12,1312
"361","13/03/2020",13,3,2020,595,"France",2020-03-13,2876
"362","13/03/2020",13,3,2020,802,"Germany",2020-03-13,2369
"363","13/03/2020",13,3,2020,1531,"Spain",2020-03-13,5958
"364","13/03/2020",13,3,2020,406,"United_Kingdom",2020-03-13,1282
"365","13/03/2020",13,3,2020,351,"United_States_of_America",2020-03-13,1663
"366","14/03/2020",14,3,2020,785,"France",2020-03-14,3661
"367","14/03/2020",14,3,2020,693,"Germany",2020-03-14,3062
"368","14/03/2020",14,3,2020,1683,"Spain",2020-03-14,7641
"369","14/03/2020",14,3,2020,484,"United_Kingdom",2020-03-14,1766
"370","14/03/2020",14,3,2020,511,"United_States_of_America",2020-03-14,2174
"371","15/03/2020",15,3,2020,838,"France",2020-03-15,4499
"372","15/03/2020",15,3,2020,733,"Germany",2020-03-15,3795
"373","15/03/2020",15,3,2020,2144,"Spain",2020-03-15,9785
"374","15/03/2020",15,3,2020,478,"United_Kingdom",2020-03-15,2244
"375","15/03/2020",15,3,2020,777,"United_States_of_America",2020-03-15,2951
"376","16/03/2020",16,3,2020,924,"France",2020-03-16,5423
"377","16/03/2020",16,3,2020,1043,"Germany",2020-03-16,4838
"378","16/03/2020",16,3,2020,1706,"Spain",2020-03-16,11491
"379","16/03/2020",16,3,2020,361,"United_Kingdom",2020-03-16,2605
"380","16/03/2020",16,3,2020,823,"United_States_of_America",2020-03-16,3774
"381","17/03/2020",17,3,2020,1210,"France",2020-03-17,6633
"382","17/03/2020",17,3,2020,1174,"Germany",2020-03-17,6012
"383","17/03/2020",17,3,2020,2503,"Spain",2020-03-17,13994
"384","17/03/2020",17,3,2020,442,"United_Kingdom",2020-03-17,3047
"385","17/03/2020",17,3,2020,887,"United_States_of_America",2020-03-17,4661
"386","18/03/2020",18,3,2020,1097,"France",2020-03-18,7730
"387","18/03/2020",18,3,2020,1144,"Germany",2020-03-18,7156
"388","18/03/2020",18,3,2020,3694,"Spain",2020-03-18,17688
"389","18/03/2020",18,3,2020,611,"United_Kingdom",2020-03-18,3658
"390","18/03/2020",18,3,2020,1766,"United_States_of_America",2020-03-18,6427
"391","19/03/2020",19,3,2020,1404,"France",2020-03-19,9134
"392","19/03/2020",19,3,2020,1042,"Germany",2020-03-19,8198
"393","19/03/2020",19,3,2020,4047,"Spain",2020-03-19,21735
"394","19/03/2020",19,3,2020,769,"United_Kingdom",2020-03-19,4427
"395","19/03/2020",19,3,2020,2988,"United_States_of_America",2020-03-19,9415
